title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
"Beatty Farm Plot","","","See Phillips Cemetery","cemetery","New Berlin","","","","","","","","","","/item.html?id=78"
"Kales Hill Cemetery","","","See Pike-Hawkins Cemetery","cemetery","Coventry","","","","","","","","","","/item.html?id=79"
"Close Farm Cemetery","","","See Reynolds Cemetery","cemetery","Smyrna","","","","","","","","","","/item.html?id=80"
"Hawley Cemetery","","","See Reynolds Cemetery","cemetery","Smyrna","","","","","","","","","","/item.html?id=81"
"Hitesite Cemetery","","","See Reynolds Cemetery","cemetery","Smyrna","","","","","","","","","","/item.html?id=82"
"Amblerville Farm Plot","","","See Rich-Sage Cemetery","cemetery","New Berlin","","","","","","","","","","/item.html?id=83"
"Plasterville Cemetery","","","See Riverside Rural Cemetery","cemetery","North Norwich","","","","","","","","","","/item.html?id=84"
"Pleasant View Cemetery","","","See Riverview Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=85"
"Mason-Packer Cemetery","","","See Samuel E. Lewis Cemetery","cemetery","Preston","","","","","","","","","","/item.html?id=86"
"German Hollow Cemetery","","","See Seymour Cemetery","cemetery","Plymouth","","","","","","","","","","/item.html?id=87"
"Willoughby Farm Plot","","","See Shapley Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=88"
"Gould Cemetery","","","See Smith Cemetery","cemetery","Preston","","","","","","","","","","/item.html?id=89"
"South Hill Cemetery","","","See Smith Cemetery","cemetery","Guilford","","","","","","","","","","/item.html?id=90"
"Wakeman Cemetery","","","See Stevens Cemetery","cemetery","Afton","","","","","","","","","","/item.html?id=91"
"Adams Farm Cemetery","","","See Stewart&#39;s Corners Cemetery","cemetery","Plymouth","","","","","","","","","","/item.html?id=92"
"Warn-Ten Broeck Cemetery","","","See Ten Broeck Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=93"
"Cook Farm Plot","","","See Terwilliger Cemetery","cemetery","Greene","","","","","","","","","","/item.html?id=94"
"Hamilton Farm Plot","","","See Tillotson Cemetery","cemetery","McDonough","","","","","","","","","","/item.html?id=95"
"Fairchild Cemetery","","","See Towsley-Fairchild Cemetery","cemetery","Smithville","","","","","","","","","","/item.html?id=96"
"Moore Cemetery","","","See Towsley-Moore Cemetery","cemetery","Smithville","","","","","","","","","","/item.html?id=97"
"Pond Cemetery","","","See Towsley-Pond Cemetery","cemetery","Smithville","","","","","","","","","","/item.html?id=98"
"Keech Cemetery","","","See Turner Cemetery","cemetery","Preston","","","","","","","","","","/item.html?id=99"
"Butler Cemetery","","","See Twitchell Cemetery","cemetery","McDonough","","","","","","","","","","/item.html?id=100"
"Ingersoll-Rand Cemetery","","","See Union Valley Cemetery","cemetery","Bainbridge","","","","","","","","","","/item.html?id=101"
"Neidlinger Farm Burial Ground","","","See Union Valley Cemetery","cemetery","Bainbridge","","","","","","","","","","/item.html?id=102"
"Smithville Flats Cemetery","","","See Upper Smithville Flats Cemetery","cemetery","Smithville","","","","","","","","","","/item.html?id=103"
"State Street Cemetery","","","See Village Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=104"
"Sherburne Four Corners Cemetery","","","See Volmer&#39;s Farm Cemetery","cemetery","Sherburne","","","","","","","","","","/item.html?id=105"
"Preston Corners Cemetery","","","See Wait Cemetery","cemetery","Preston","","","","","","","","","","/item.html?id=106"
"Skillman Cemetery","","","See Waldron Cemetery","cemetery","Smithville","","","","","","","","","","/item.html?id=107"
"Carter Farm Plot","","","See Watson Cemetery","cemetery","Greene","","","","","","","","","","/item.html?id=108"
"Four Corners Cemetery","","","See Westview Cemetery","cemetery","German","","","","","","","","","","/item.html?id=109"
"Ring Farm Plot","","","See Widger Cemetery","cemetery","Preston","","","","","","","","","","/item.html?id=110"
"Willcox Cemetery","","","See Wilcok Cemetery","cemetery","Smyrna","","","","","","","","","","/item.html?id=111"
"Upper Tyner Cemetery","","","See Willcox Cemetery","cemetery","Smithville","","","","","","","","","","/item.html?id=112"
"Albee Cemetery","","","","cemetery","New Berlin","42.64611111","-75.33111111","","","","","","","","/item.html?id=113"
"Aldrich Cemetery","","","","cemetery","Norwich","42.56083333","-75.45055556","","","","","","","","/item.html?id=114"
"Arnold Cemetery","","","","cemetery","New Berlin","42.6125","-75.35611111","","","","","","","","/item.html?id=115"
"Ashcraft Cemetery","","","","cemetery","German","42.47916667","-75.81527778","","","","","","","","/item.html?id=116"
"Aylesworth Cemetery","","","","cemetery","New Berlin","42.62333333","-75.44277778","","","","","","","","/item.html?id=117"
"Baptist Church Cemetery","","","","cemetery","Bainbridge","42.29388889","-75.47805556","","","","","","","","/item.html?id=118"
"Beardsley Cemetery","","","","cemetery","Oxford","42.45388889","-75.64222222","","","","","","","","/item.html?id=120"
"Beardsley Family Plot","","","","cemetery","McDonough","","","","","","","","","","/item.html?id=121"
"Beardsley Farm Plot","","","","cemetery","McDonough","","","","","","","","","","/item.html?id=122"
"Beckwith Plot","","","","cemetery","Pharsalia","42.55888889","-75.70361111","","","","","","","","/item.html?id=123"
"Bellinger Cemetery","","","","cemetery","Smyrna","42.60138889","-75.45777778","","","","","","","","/item.html?id=124"
